ID,Sexo,Idade,TempTrab,FatDecCar,FatDecCarOut,FaseCarreira,CarreiraInvestimento,CarreiraInvestimentoOutro,PlanejCarreira01,PlanejCarreira02,PlanejCarreira03,PlanejCarreira04,PlanejCarreira05,PlanejCarreira06,PlanejCarreira07,PlanejCarreiraoutro,PalavraCarreira,PalavraCarreiraOutro,Mudança,MudançaVezes,EstadoCivil,EstadoCivilOutro,Filhos,QuantosFilhos,Renda,OrientaçãoSexual,OrientaçãoSexualOutro,Escolaridade,ÁreaCurso01,ÁreaCurso02,ÁreaCurso03,ÁreaCurso04,ÁreaCurso05,ÁreaCurso06,ÁreaCurso07,ÁreaCurso08,Curso,IdadeComeçouTrabalhar,Estado,ÁreaTrabalho,ÁreaTrabalhoOutro,Gestor,PensaCarreira,Empresa10anos,TrabalharTemporari,TrabalharTemporariVezes,FatTrabalharTemp01,FatTrabalharTemp02,FatTrabalharTemp03,FatTrabalharTemp04,FatTrabalharTemp05,FatTrabalharTemp06,FatTrabalharTemp07,FatTrabalharTemp08,AEO01,AEO02,AEO03,AEO04,AEO05,AEO06,ACSF01,ACSF02,ACSF03,ACSF04,ACSF05,ACSF06,ACSF07,ACSF08,ACSF09,ACSF10,ACSF11,ACSF12,ACSF13,ACP01,ACP02,ACP03,ACP04,ACP05,ACP06,ACP07,ACP08,ACP09,ACP10,ACP11,ACP12,ACP13,ACP14,PPC01,PPC02,PPC03,PPC04,PPC05,PPC06,PPC07,PPC08,PPC09,PPC10,PPC11,PPC12,PPC13,PPC14,PPC15,PPC16,PPC17,PPC18,PPC19,EEC01,EEC02,EEC03,EEC04,EEC05,EEC06,EEC07,EEC08,EEC09
1,1,44,23,3, ,2,1, , , , , , , ,1,nenhuma,0,nenhuma,0,1,1,nenhum,1, ,6,0,nenhuma,5, ,1, , , , , , ,nenhum,0, ,4, ,3,2,3,1, , , , , , , ,1, ,4,4,4,5,5,5,3,3,1,4,4,4,5,5,4,1,1,1,1,5,5,5,5,5,5,3.46666666666667,3,5,3,5,3,5,5,1,3,4,1,3,1,1,4,1,4,4,4,4,4,4,2,4,4,2,5,5,5,5,5,5,3,5,5
10,1,48,25,1, ,2,1, , , ,1, ,1, , , ,7, ,1, ,4, ,2,2,5,1, ,6, , , , , , , , , ,18,1,4, ,3,1,1,0,1, , , , , , ,1, ,4,3,3,5,4,5,5,5,5,5,5,5,1,5,3,4,4,5,5,5,5,4,4,5,4,4,5,4,3,4,2,4,5,5,5,4,4,4,5,5,3,4,5,5,4,3,4,5,4,5,5,4,5,5,5,4,4,5,5,4,4
44,2,18,5, , , , , ,1, ,1,1,1, , , ,2, ,2, ,1, ,1, ,2,1, ,4, ,1, ,1, , , , , ,11,1,2, ,2,2,3,1, ,1,1,1,1,1,1, ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
4,1,21,11,3, ,1,3, ,1, ,1,1,1,1, , ,4, ,2, ,1, ,1, ,4,1, ,2, , , , , , , , , ,10,1,6,?,2,2,0,1, ,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5,5,1,1,5,1,5,5,1,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,2,24,9,6, ,1,6, , , ,1, , , , , ,4, ,1, ,3, ,1, ,6,1, ,4, , , , , , , , , ,16,1,4, ,2,2,5,2, , , , , , , , , ,3,4,2,1,4,4,5,5,1,1,5,2,1,5,1,1,5,1,1,5,5,1,5,5,5,5,1,1,3,3,3,5,1,5,4,4,5,5,5,5,5,5,5,2,5,5,2,3,1,3,3,5,2,1,3,1,5,4,1,1,1
79,2,26,10,3, ,1,3, ,1, , , , , , , ,1, ,1, ,3, , , ,2,1, ,5, , , , , , , , , ,15, ,4, ,2,2, ,2, , , ,1, , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,4,5,2,5,4,5,5,3,5,3,5,5,5,5,4,3,3,5,5,5,5,5,1,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,31,18.0271739130435,3, ,2,1, , , , , ,1, , , ,4, ,2, ,1, ,1, ,6,1, ,2, , , ,1, , , , ,Não tenho,18,1,0,Escola flamengo,2,1,2,1, , , ,1, , , , , ,4,4,5,5,4,4,2,1,5,1,1,5,2,2,1,5,2,4,1,1,5,3,1,5,1,3.46666666666667,5,1,5,2,5,2,1,3,2,2,4,2,2,4,2,3,5,4,4,3,3,3,3,3,4,4,3,3,2,3,4,2,3,4,4
15,1,31,13,1, ,1,3, ,1, , , , , , , ,1, ,1, ,4, ,2,1,4,1, ,2, , , , , , , , , ,18, ,4, ,2,2, ,2, , , , , , , ,1, ,4,5,5,5,5,4,5,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,5,5,1,1,1,1,1,1,1,1,5,1,5,5,5,3.94117647058824,5,5,3,2,5,5,5,1,5,2,1,5,5,5,3,3,5,5,5,5,5,1,5
15,1,33,12,3, ,1,2, , , ,1, , , , , ,1, ,1, ,3, ,2,1,2,1, ,4, ,1, , , , , , ,Enfermagem.,18,1,4, ,2,2,3,0,1, ,1, , , , ,1, ,4,5,4,5,4,4,5,5,3,5,1,2,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,1,33,16,1, ,2,3, , , ,1, , , , , ,1, ,1, ,3, ,2,1,2,1, ,4, , , , , , , , ,Técnico em Segurança do trabalho,18,1,3, ,2,2,5,1, , , , , , , , , ,2,5,3,5,5,5,5,1,1,1,1,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,5,5,5,4,5,5,5,5,4,5,4,5,4,2,4,5,5,5,5,5,5,5,4,5,1,5
1,1,34,18.0271739130435,6, ,2,1, , , , ,1, ,1, , ,7, ,1, ,4, ,2,4,5,1, ,3, , , , , , ,1, ,Técnico em edificações,15,1,2, ,2,2,10,2, , , , , ,1, ,1, ,4,4,2,4,5,5,5,1,1,1,1,2,3,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,3,1,2,1,1,1,1
1,1,35,18.0271739130435,3, ,2,6, ,1, , ,1, , , , ,1, ,1, ,4, ,1, ,4,1, ,5, , , , , , , ,1,Adm,19,1,2, ,2,2,0,1, , , ,1, , , , , ,5,5,5,5,5,5,5,4,4,4,4,4,4,5,1,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,5,2,5,3,3,4,4,4,3,4,5,4,3,2,3,2,3,4,4,4,4,4,4,4,1,4
1,1,36,18.0271739130435,2, ,2,2, , , , , , ,1, , ,9, ,1, ,4, ,2,1,3,1, ,5, , , , , ,1, , ,Ciências contábeis,18,1,2, ,2,1,1,1, , , , , , , , , ,5,4,4,4,4,4,3,3,1,1,2,5,4,3,4,4,5,3,3,5,5,5,4,5,5,3.46666666666667,2,3,4,4,5,2,3,2,4,3,2,4,5,3,3,2,4,5,4,2,4,4,4,2,3,4,4,4,4,4,3,3,3,2,4
1,1,37,10,5, ,2,1, , , ,1, , ,1, , ,7, ,0,3,2, ,2,2,5,3, ,5, , ,1, , , , , ,Pedagogia,18,1,5, ,2,2,2,2, , , , , , , ,1, ,2,4,2,1,2,2,1,2,1,1,1,2,1,1,2,3,5,3,3,3,4,3,1,2,4,3.46666666666667,3,1,2,4,1,3,4,3,2,2,5,3,4,3,3,3,4,3,4,2,2,3,1,2,3,4,2,2,2,2,4,2,2,2,2
1,1,38,18.0271739130435,3, ,2,2, ,1, ,1,1, , , , ,2, ,1, ,4, ,2,1,4,1, ,7, , , ,1, , , , ,Adminisrracão,21,1,5, ,2,2,3,1, , , , , , , , , ,4,5,2,4,5,5,5,4,3,4,3,3,1,5,2,1,1,1,1,5,5,5,5,5,5,3.46666666666667,4,4,5,5,5,5,5,5,5,3,4,1,4,2,4,4,4,4,3,3,3,5,1,3,5,1,5,4,5,5,4,3,2,4,3
1,1,38,18.0271739130435,3, ,2,0,Trabalhos diferentes,1, , , , , , , ,4, ,1, ,4, ,2,1,5,1, ,6, ,1, , , , , , ,Enfermagem,22,1,4, ,2,2,4,1, , , , , , , , , ,5,5,4,5,5,5,5,4,5,5,4,4,5,5,3,1,3,4,4,5,5,4,4,4,5,3.46666666666667,5,4,4,3,4,4,5,1,5,5,2,5,5,4,5,5,5,3,5,2,5,5,1,1,5,4,5,5,5,5,4,4,4,5,5
