"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC"
"267",267,1,2,5,4,5,2,4,5,4,3,4,4,4,3,4,2,4,3,3,4,4,4,3,2,3,3,3.46666666666667,1,1,1,1,5,1,5,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,-0.228668239760353,-0.145510164147778,0.202280597186463,-1.06154489990209,-0.63978309346492,-1.1846019246611,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"268",268,1,2,2,2,5,4,4,5,1,1,1,1,2,1,1,5,5,5,5,5,4,4,5,5,5,5,5,1,3,5,5,5,5,5,5,5,2,5,1,5,3,5,2,5,4,3,1,4,5,4,5,5,5,5,5,5,5,5,3,1,3,1,-0.683263078041207,-1.68693371474656,1.39894291435791,0.57669103528537,0.278713290817634,0.663706437428751,0.00980796561786691,0.437527497053831,-0.531681225102691,0.0965743240126665
"269",269,2,5,4,4,5,4,4,5,4,4,3,4,4,5,4,3,3,3,1,1,5,3,4,4,4,4,4,4,4,2,3,3,4,4,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,0.0569790412709345,-0.0425497758332673,-0.469973827124327,-0.568323818149173,-0.243684550718912,-0.542118360652909,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"270",270,1,4,2,2,4,2,5,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,-0.557761733161846,-0.118829965774512,-0.0497325567329424,-0.238459088856495,-0.14852033368269,-0.254152451954991,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"271",271,2,4,5,4,5,5,4,5,4,5,5,5,5,5,5,4,2,3,5,4,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,0.212563192517211,1.19967038185576,0.29859910684601,-0.238459088856495,-0.14852033368269,-0.254152451954991,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"272",272,1,3,4,4,2,4,2,1,1,1,1,1,2,1,1,5,5,5,5,5,5,1,1,1,1,1,3.46666666666667,5,5,1,5,1,1,1,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,-0.645928620191843,-1.68693371474656,1.39894291435791,-1.79336070706111,-0.415552981620009,-1.72456854301087,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"273",273,2,5,4,3,5,5,5,5,1,1,1,1,2,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,2,5,3,4,5,3,5,4,5,1,5,5,1,5,5,5,5,5,5,5,5,2,5,5,2,0.242544519538607,-0.973044852050577,-0.549700103969312,1.00568584098498,0.287094554610296,1.07994909072138,0.381358303222644,0.268436982552727,0.242925380049827,0.553016879380843
"274",274,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,2,4,5,4,2,5,5,4,5,1,5,2,1,5,4,5,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,0.760525431920095,1.25111652344637,-1.25094978160932,0.971166646465922,0.694895135919912,1.09626226025095,0.305506050512704,-0.338810309890243,0.513909632487057,-0.294309109579026
"275",275,2,3.97931034482759,4.09310344827586,3.7923875432526,4.27681660899654,4.04895104895105,4.15916955017301,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,-0.0930099483351392,-0.118829965774512,-0.0497325567329424,-0.238459088856495,-0.14852033368269,-0.254152451954991,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
"276",276,2,5,4,4,5,4,4,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,4,5,5,5,4,5,4,4,4,3,4,4,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913,0.0569790412709345,1.19833835629339,0.339513695562177,0.644180079582096,0.158259758847731,0.560911820509499,-0.126697291416756,-0.0813246748267526,-0.160935552956934,-0.294309109579026
