"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09"
"221",221,1,4,3,4,5,4,4,5,5,1,3,4,4,4,5,3,2,1,2,2,3,5,1,2,2,5,2,2,2,3,4,5,5,5,5,5,4,5,5,5,5,5,3,5,2,4,4,4,5,1,5,5,5,3,3,3,3,5,3,4,1,1
"222",222,1,5,4,4,5,3,4,5,1,5,1,5,2,1,1,1,1,1,1,1,5,5,1,5,5,5,5,1,5,5,5,5,5,1,5,5,4,1,4,3,5,2,1,5,1,5,5,2,2,5,5,3,4,4,5,5,2,2,5,5,1,1
"223",223,2,5,5,4,5,3,4,4,3,2,1,1,2,1,5,1,4,4,3,4,5,3,4,4,3,4,3,4,1,1,1,1,1,1,5,3,4,5,5,5,5,3,4,3,5,5,4,4,2,5,5,5,5,5,5,4,5,5,3,5,5,5
"224",224,1,2,2,5,4,4,5,4,5,1,3,1,5,1,5,5,2,3,2,3,4,5,2,4,5,5,4,5,3,5,5,4,3,2,5,5,4,4,5,4,5,5,5,5,5,5,1,3,5,1,5,5,5,3,3,4,4,4,4,2,4,5
"225",225,1,2,1,3,4,2,2,5,5,5,1,5,5,5,5,4,5,5,5,1,5,5,3,4,5,5,3,1,5,3,4,1,4,3,5,5,3,5,4,5,5,5,4,5,3,4,5,4,5,2,4,5,1,4,5,5,5,5,5,5,4,4
"226",226,1,2,1,2,3,5,2,5,5,5,1,5,5,5,1,5,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,4,3,5,3,2,4,1,4,1,2,4,3,4,5,5,4,4,3,4,5,5,3,1,1
"227",227,1,1,5,5,5,5,5,5,1,1,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,1,5,1,5,5,5,1,1,5,1,5,1,5,1,1
"228",228,2,2,5,5,4,3,3,3,2,1,3,4,4,2,3,3,1,3,1,1,4,5,4,5,5,5,4,4,5,3,5,5,5,5,4,5,2,5,4,3,2,3,5,5,4,5,5,5,5,3,4,4,5,2,2,3,3,4,3,4,3,4
"229",229,1,3,1,2,3,5,2,5,5,5,1,5,5,5,1,5,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,3,5,2,5,4,4,5,3,2,4,1,4,1,2,4,1,4,1,5,5,4,4,4,5,5,5,1,3
"230",230,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,3,5,3,3,5,5,5,5,5,3,5,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4
"231",231,2,4,4,3,5,4,4,4,2,2,3,3,3,4,4,4,5,5,4,4,2,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,5,4,5,5,5,3,4,5,5,5,5,5,2,5
"232",232,1,3,1,2,3,5,2,5,5,5,1,5,5,5,1,5,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,4,4,5,3,2,4,1,4,1,1,4,1,4,5,5,5,5,5,4,5,1,1,4,1
"233",233,2,4,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,3,2,3,5,5,4,5,5,4,5,3,4,4,5,5,5,4,3,5,5,4,4,5,5,5,2,5,1,2,5,3,5,2,3,4,5,4,4,4,4,4,3,4,3,4
"234",234,2,3,5,4,3,5,3,5,5,5,1,1,5,1,1,5,1,5,5,5,5,1,1,5,1,1,1,5,1,5,5,5,5,5,3,4,4,3,4,3,4,4,5,4,3,2,1,1,2,3,4,5,4,4,3,3,5,3,3,3,1,3
"235",235,1,5,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,1,2,2,1,1,1,1,2,1
"236",236,1,4,4,4,5,4,4,5,4,2,4,3,4,1,5,4,1,4,5,4,4,4,2,5,5,4,1,5,2,2,4,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,4,1,5,5,5,5,4,4,4,3,1,2,1,2
"237",237,2,4,3,2,3,2,4,5,4,4,2,2,2,1,2,3,2,4,1,2,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,4,3,4,3,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5
"238",238,2,5,4,3,4,5,5,1,5,5,5,1,5,5,5,5,1,1,5,5,1,5,1,1,5,5,1,5,1,1,5,5,5,1,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,4,4,5,3
"239",239,2,4,4,4,4,4,4,3,5,3,4,5,5,3,3,3,3,3,4,5,5,4,3,5,3,3,3,4,3,4,4,4,4,4,3,5,3,4,5,4,3,5,3,5,4,4,5,3,4,2,4,5,4,4,4,3,5,5,5,5,3,3
"240",240,2,5,5,4,2,5,4,4,5,3,3,4,5,3,5,4,5,4,5,5,4,4,4,4,4,5,5,5,5,3,5,5,4,4,5,5,5,5,4,4,3,5,4,5,2,5,5,4,2,2,5,5,5,4,4,4,5,5,1,4,2,5
"241",241,1,4,4,3,2,4,4,5,1,1,1,1,2,1,5,1,1,1,3,2,4,5,4,3,5,5,3,2,4,2,4,5,4,5,3,5,4,3,4,4,5,5,4,4,3,4,5,3,5,3,4,5,5,5,4,4,5,4,4,3,2,2
"242",242,1,4,4,2,4,4,4,5,5,5,1,1,5,5,5,5,1,1,1,1,5,4,1,5,5,3,1,2,2,1,5,1,3,3,5,5,3,5,4,5,5,5,4,5,5,5,4,4,5,4,4,3,4,2,2,3,3,4,3,3,2,4
"243",243,1,3,3,3,1,3,3,4,5,5,5,5,5,1,5,5,5,5,3,1,1,5,3,4,5,5,3,5,5,3,5,5,3,5,5,5,5,3,4,4,5,3,2,3,3,3,1,2,3,1,5,3,1,1,1,5,1,3,3,5,2,2
"244",244,2,3,4,2,1,4,4,5,5,1,1,5,2,1,5,1,1,5,1,1,5,5,1,5,5,5,5,1,1,3,3,3,5,1,5,4,4,5,5,5,5,5,5,5,2,5,5,2,3,1,3,3,5,2,1,3,1,5,4,1,1,1
"245",245,2,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,3,5,3,2,5,1,5,2,3,4,5,5,5,4,4,5,4,5,4,2
"246",246,2,3,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,1,1,1,5,5,5,1,5,5,3,1,4,3,4,1,5,4,3,2,1,5,1,5,3,2,4,5,5,5,2,5,4,3,1,2,5,4
"247",247,2,4,4,5,5,4,5,2,2,2,3,3,5,3,4,4,4,5,3,1,5,4,3,4,5,4,4,4,3,3,4,4,3,3,3,4,4,5,5,5,5,5,4,4,4,5,3,3,4,3,3,4,4,4,3,3,4,4,5,3,5,5
"248",248,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,3,5,2,2,3,5,5,5,5,2,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5
"249",249,1,4,4,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,4,2,5,4,2,2,2,4,3,3,4,3,2,2,3,2,5,5,4,2,4,4,5,5,5,5,5,5,1,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5
"250",250,1,2,4,4,5,2,3,5,5,1,1,5,2,1,5,5,5,5,5,5,3,5,5,5,5,5,4,3,4,4,4,4,3,4,5,4,4,3,4,4,5,5,4,3,4,5,4,5,3,5,3,5,4,4,4,3,4,4,4,3,4,4
"251",251,1,4,2,4,5,4,4,5,1,3,1,1,5,3,5,5,5,5,5,5,3,2,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,3,4,4,5,5,5,5,4,3,1,5,5,2,5,4,2,4,5,5,5,5,5,5,5,5
"252",252,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
"253",253,1,2,4,2,5,5,4,5,3,2,2,2,2,2,4,4,5,5,3,3,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,5,3,3,5,5,5,5,5,5,5,5,1,5,1,5
"254",254,1,5,4,5,5,5,5,5,5,1,1,1,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,4,5,5,5,5,2,5,5,5,2,5,5,3,5,4,3,5,5,5,5,5,5,5
"255",255,1,2,4,4,5,4,3,5,5,5,5,5,5,1,5,5,1,1,5,5,5,4,5,5,5,5,1,5,5,5,5,1,4,1,5,5,5,1,2,2,5,5,5,5,5,5,1,5,2,3,5,5,1,5,5,3,5,2,3,5,5,5
"256",256,1,5,5,3,2,4,3,5,5,1,1,5,2,1,5,1,1,5,5,5,4,4,3,4,4,4,3,4,3,3,4,4,4,4,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,5,1,5,5,3,3,3,3,3,3,3,3
"257",257,2,1,4,4,4,4,4,1,4,3,3,4,4,3,4,3,3,3,3,3,1,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4
"258",258,1,5,4,4,5,5,5,5,1,1,1,5,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,1,5,1,5,5,3,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5
"259",259,2,5,2,1,1,2,5,5,5,3,5,1,5,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,1,5,1,5,5,1,2,5,3,4,1,1,5,1,5,3,5,1,1,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4
"260",260,2,5,5,5,5,5,5,1,1,1,5,1,5,1,5,5,5,5,5,5,1,1,1,1,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"261",261,2,4,4,3,3,2,3,1,5,5,1,5,5,1,5,5,1,1,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,2,3,4,5,5,3,5,1,4,1,3,2,5,5,5,3,5,5,5,5,5,5,5,5,5
"262",262,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4
"263",263,1,5,5,3,5,4,4,5,4,3,3,3,4,4,4,4,2,5,4,5,5,5,5,4,4,4,3,4,3,3,3,3,3,4,3,4,4,5,4,5,4,5,5,5,5,4,4,4,4,3,4,5,3,5,5,5,5,5,5,5,5,5
"264",264,2,4,5,5,4,4,3,5,5,1,5,1,5,5,5,5,1,1,1,5,5,5,1,5,5,5,5,5,1,1,4,5,1,5,5,5,5,5,1,1,5,5,5,5,2,5,4,5,5,1,5,5,5,4,4,4,4,4,3,4,3,4
"265",265,2,5,4,3,5,5,5,5,1,1,1,1,2,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,2,5,3,4,5,3,5,4,5,1,5,5,1,5,5,5,5,5,5,5,5,2,5,5,2
"266",266,1,5,4,4,5,5,5,5,5,5,3,3,5,4,5,4,2,2,3,3,5,4,4,4,4,5,4,1,2,4,4,3,3,3,5,5,5,4,4,3,5,3,4,5,3,3,4,4,3,2,4,3,3,5,5,5,5,4,5,5,5,5
"267",267,1,5,5,5,4,4,5,5,5,1,1,1,5,1,5,5,1,1,1,1,5,5,1,5,5,5,5,1,5,1,1,5,1,5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,5,1,5,5,5,4,5,5,5,5,1,5,3,5
"268",268,1,4,4,4,4,4,4,5,5,1,1,5,5,1,5,1,1,5,5,1,1,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,4,5,5,5,5,5,5,4,4,5,5,4
"269",269,2,5,5,5,3,5,5,5,1,1,1,1,2,5,5,5,1,1,1,5,5,5,1,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,3,4,5,2,1
"270",270,1,4,4,5,5,4,5,5,5,3,2,1,4,1,5,5,1,3,3,3,3,5,3,5,5,5,3,5,3,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,3,5,1,5,5
"271",271,1,4,4,3,3,5,2,5,4,3,2,4,4,2,4,2,1,1,3,4,4,5,2,3,5,5,4,5,5,2,5,3,3,3,5,5,5,2,3,2,5,2,1,4,1,5,2,4,2,3,2,2,4,5,3,4,4,1,1,1,1,1
"272",272,1,4,4,4,5,5,4,5,5,1,1,5,5,1,5,4,1,1,1,1,5,5,4,1,4,4,3,4,4,5,5,1,5,5,5,5,5,1,4,4,5,5,5,5,1,5,1,5,4,4,4,4,5,4,1,5,5,5,1,5,2,5
"273",273,1,2,2,4,5,4,4,5,1,1,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,5,1,5,1,1,5,5,5,5,3,5,2,2,4,2,5,2,3,4,3,2,3,3,3,2,4,3,4,5,5,5,5,4,3,4,4,3
"274",274,1,5,5,5,5,4,4,5,3,1,4,1,3,2,5,3,2,4,3,1,3,5,5,5,5,5,5,5,4,3,5,5,5,2,5,5,5,5,3,3,3,5,4,4,4,5,4,1,5,3,4,5,4,3,3,4,5,5,5,5,5,5
"275",275,2,4,5,3,4,4,3,5,1,5,5,1,2,1,5,5,1,5,1,5,5,5,1,5,1,5,1,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,3,5,3,5,5,5,5,5
"276",276,1,4,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,4,3,5,5,5,4,5,5,3,5,3,4,4,5,5,5,5,5,5
"277",277,1,3,4,3,4,5,5,4,4,5,5,5,5,5,4,4,1,3,1,1,5,4,3,4,4,4,3,4,5,5,4,3,3,4,4,4,4,4,3,5,5,4,4,3,4,4,4,4,3,3,4,3,2,5,5,4,4,4,3,3,4,3
"278",278,1,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,3,3,3,3,4,5,3,4,4,4,3,4,3,4,4,4,4,3,5,3,4,3,4,4,5,5,4,4,3,4,2,3,1,4,4,4,2,4,4,4,4,4,4,4,4,4
"279",279,1,5,5,4,5,5,5,5,4,3,1,1,5,5,5,3,4,5,5,5,5,5,5,3,3,4,5,5,5,3,5,4,5,5,5,4,4,5,1,2,2,5,5,5,2,4,2,5,5,5,2,2,2,5,2,5,3,5,5,3,3,5
"280",280,1,5,5,4,3,5,5,5,3,3,4,4,3,3,4,3,1,3,1,4,5,4,4,3,4,4,1,5,4,1,1,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5
"281",281,1,2,4,1,4,3,4,5,5,5,4,1,2,1,5,1,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,1,1,2,5,5,5,5,3,1,1,3,3,2,1,1,3,1
"282",282,1,2,5,3,5,5,5,5,1,1,1,1,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,5,5,5,4,5,5,5,5,4,5,4,5,4,2,4,5,5,5,5,5,5,5,4,5,1,5
"283",283,1,5,4,5,5,3,4,4,5,5,4,5,4,3,4,3,3,3,3,3,4,5,3,5,5,5,4,4,3,3,5,5,4,4,5,5,5,5,3,4,1,2,4,3,4,5,5,5,5,2,5,3,5,1,5,4,4,1,1,2,1,2
"284",284,2,5,5,4,5,1,5,1,2,1,1,1,5,4,5,5,1,1,1,1,3,3,3,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,1,1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5
