"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","ACSF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC","ACSF_MP","ACSF_MF","ACP_total","ACP_AG","ACP_DV","PPC_total","PPC_AUTEN","PPC_BALAN","PPC_CRESC","EEC_total"
"21",21,1,2,4,2,1,2,2,1,2,1,1,1,2,1,1,2,3,5,3,3,3,4,3,1,2,4,3,3,1,2,4,1,3,4,3,2,2,5,3,4,3,3,3,4,3,4,2,2,3,1,2,3,4,2,2,2,2,4,2,2,2,2,-1.17196336048205,-1.63575194358271,0.356392892559849,-1.11135909148875,-1.1223040193309,-0.690703017400188,-1.16639897464788,-0.661623480278999,-0.49872425912812,-0.864058881478973,-1.32204909115241,1,3,3.5,3.5,2.5,3,3,3.5,2.8,2
"22",22,1,4,5,2,4,5,5,5,4,3,4,3,3,1,5,2,1,1,1,1,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,3,4,1,4,2,4,4,4,4,3,3,3,5,1,3,5,1,5,4,5,5,4,3,2,4,3,0.0162081224205594,-0.34199277625112,-1.20195114172932,0.212435462585634,0.81891083401668,0.470581363014737,0.895096507619712,-0.47508542761696,-0.0282343085609455,-0.515969540840544,0.164373509125689,4,1,5,4,4.75,2.75,3,4.33333333333333,3.33333333333333,4
"23",23,1,5,5,4,5,5,5,5,4,5,5,4,4,5,5,3,1,3,4,4,5,5,4,4,4,5,3,5,4,4,3,4,4,5,1,5,5,2,5,5,4,5,5,5,3,5,2,5,5,1,1,5,4,5,5,5,5,4,4,4,5,5,0.679389794368478,0.453651267321098,0.0749517277426628,0.269837540307276,-0.0671998865089122,-0.0342441361583552,-0.107096320927645,0.0661765030149125,0.288406199144541,0.515603391415936,0.908656704923016,5,2.5,4.5,4,4,2.77777777777778,3.57142857142857,4.16666666666667,5,5
"24",24,1,2,2,2,2,4,2,4,5,3,3,4,4,1,1,3,1,1,1,3,4,3,1,3,3,4,3,1,4,4,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,2,3,2,5,2,4,5,5,5,4,4,4,4,4,4,3,4,-1.14216569893887,-0.406650468968933,-0.851670334326945,0.0272915973668975,-0.889887531692982,-0.0780626032790232,-0.735210585372577,0.376946295556344,0.577913629398899,0.165072424980009,0.0402094143367981,2,2,4,3,4.5,4.66666666666667,4.71428571428571,4.83333333333333,4,4.5
"25",25,2,5,5,5,5,5,5,5,5,4,5,5,5,3,5,1,5,5,5,5,5,3,3,5,3,3,3,3,1,1,1,5,3,5,5,5,5,3,4,3,3,5,5,5,2,5,3,5,2,2,5,3,3,5,5,5,5,4,4,3,5,5,1.00926747909532,0.679221404211038,1.3270990210878,-0.118810834083242,-0.857237437782422,-0.559497671594758,-0.929301269087332,0.141377478424998,-0.25630233117119,0.508902243302025,0.812650016567447,4.5,5,3,3,3,3.71428571428571,4.28571428571429,3,5,5
"26",26,1,5,5,4,4,4,5,4,4,4,4,4,4,4,5,3,1,1,1,1,5,4,4,4,4,4,3,4,3,5,5,5,4,3,4,4,3,4,4,5,4,5,5,5,4,5,4,4,4,2,4,5,4,4,4,4,4,4,3,4,5,4,0.347774904595135,0.11917848200311,-1.21646819599371,0.552830484698027,-0.393893549830644,-0.0533930673868304,-0.340908830419187,0.0392416264375421,0.260060978560595,0.199869833749456,-0.0808939850817298,4.5,1,4,3.5,4,4,4.14285714285714,4.5,4.25,4
"27",27,1,4,2,4,5,4,4,3,3,5,4,3,4,2,5,2,2,3,3,4,5,3,4,3,4,3,4,4,4,5,5,5,4,5,2,5,3,4,5,5,3,3,4,4,1,4,2,3,5,4,3,3,4,4,5,5,4,3,3,3,5,4,-0.270713171184476,0.00148141535776986,0.0272642780950678,-0.0211611379617854,-0.60377578879546,0.0483368987689248,-0.531407336686827,-0.309676013257338,-0.328230957367951,-0.433350743530366,0.116847111881115,5,3,3.5,3.5,4.75,3.5,3.71428571428571,3.5,3.5,4
"28",28,2,5,4,4,5,5,5,4,4,4,4,4,4,5,4,4,3,5,5,4,4,5,3,2,1,4,3,4,2,2,2,4,2,2,2,2,5,2,4,3,2,3,2,2,3,3,4,4,2,1,1,5,1,4,4,4,4,4,1,4,2,4,0.459870320537518,0.0613845160245285,0.791293896288249,-0.279172670613662,-0.980241417688252,-0.554842958485868,-1.04077123923041,-0.952207029035478,-0.631951973365069,-0.731733619013507,-0.372789070993934,4,3.5,3.5,4,2.5,1.5,2,3,3.5,4
"29",29,1,5,4,3,4,5,5,4,5,4,4,4,4,4,4,2,1,3,3,3,5,3,3,4,4,3,3,2,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,4,4,3,3,5,4,0.124879416799246,0.00689836427812825,-0.171774248811288,0.0783386445133365,-0.629849005000166,0.0406667720854906,-0.558334120110277,0.0274739470669418,0.0745907187230729,0.0805676799080999,-0.143782557497807,4,2,3.5,3,4.75,4.5,4.42857142857143,4.33333333333333,4.33333333333333,4
"30",30,2,2,4,4,4,3,4,4,5,5,5,5,5,4,5,1,1,1,3,1,5,4,3,3,4,4,3,5,3,3,3,1,5,5,5,1,4,2,2,5,5,5,4,4,5,4,3,3,5,1,5,5,4,5,5,5,5,3,5,3,5,5,-0.459333200908778,1.02910377651799,-0.68489653985581,1.06253615762913,-0.645004648772408,-0.375612668192634,-0.608976672833997,-0.211033513284167,0.279401515797358,-0.215547377149377,0.846131758486778,5,1,4.5,3.5,3,4.66666666666667,3.71428571428571,4.5,3.75,5
